mut	method	top	rep	AB|CD	AC|BD	BC|AD
2X	CASTER-site	AB|CD	1	129.409	101.566	72.8827
2X	CASTER-site	AB|CD	2	116.31	100.14	92.2417
2X	CASTER-site	AB|CD	3	124.79	99.8704	87.811
2X	CASTER-site	AB|CD	4	111.343	106.307	78.8478
2X	CASTER-site	AB|CD	5	125.732	83.1299	84.6319
2X	CASTER-site	AB|CD	6	119.351	86.5871	82.2514
2X	CASTER-site	AB|CD	7	120.238	98.9481	72.1379
2X	CASTER-site	AB|CD	8	119.558	88.8907	64.5932
2X	CASTER-site	AB|CD	9	125.723	101.361	72.6616
2X	CASTER-site	AB|CD	10	127.867	102.958	84.1731
2X	CASTER-site	AB|CD	11	139.99	97.1422	77.8448
2X	CASTER-site	AB|CD	12	123.917	88.7298	78.0231
2X	CASTER-site	AB|CD	13	131.536	89.7005	87.9464
2X	CASTER-site	AB|CD	14	133.014	88.9343	80.1683
2X	CASTER-site	AB|CD	15	124.595	85.8072	84.9086
2X	CASTER-site	AB|CD	16	122.307	91.1255	88.8016
2X	CASTER-site	AB|CD	17	117.239	91.4615	78.7932
2X	CASTER-site	AB|CD	18	128.401	86.385	73.7937
2X	CASTER-site	AB|CD	19	126.134	87.9074	83.3852
2X	CASTER-site	AB|CD	20	121.172	89.9054	82.1044
2X	CASTER-site	AB|CD	21	133.859	93.464	79.4006
2X	CASTER-site	AB|CD	22	126.554	86.7468	67.8003
2X	CASTER-site	AB|CD	23	116.62	94.9914	97.8454
2X	CASTER-site	AB|CD	24	124.783	84.5056	75.7235
2X	CASTER-site	AB|CD	25	133.002	88.2405	81.253
2X	CASTER-site	AB|CD	26	126.309	88.3223	78.2461
2X	CASTER-site	AB|CD	27	125.084	97.3122	82.3693
2X	CASTER-site	AB|CD	28	132.597	88.7676	79.7669
2X	CASTER-site	AB|CD	29	116.882	89.4297	79.8186
2X	CASTER-site	AB|CD	30	129.774	96.0162	83.6354
2X	CASTER-site	AB|CD	31	121.497	99.313	77.2653
2X	CASTER-site	AB|CD	32	129.203	91.2765	78.18
2X	CASTER-site	AB|CD	33	133.84	79.096	81.1209
2X	CASTER-site	AB|CD	34	124.576	97.0137	90.0289
2X	CASTER-site	AB|CD	35	128.014	98.2561	87.334
2X	CASTER-site	AB|CD	36	127.092	84.2573	82.875
2X	CASTER-site	AB|CD	37	126.596	82.8135	68.0467
2X	CASTER-site	AB|CD	38	126.4	92.566	82.6402
2X	CASTER-site	AB|CD	39	128.454	103.781	74.8715
2X	CASTER-site	AB|CD	40	126.902	93.487	89.0916
2X	CASTER-site	AB|CD	41	126.164	87.1999	84.0434
2X	CASTER-site	AB|CD	42	128.96	87.6244	89.5467
2X	CASTER-site	AB|CD	43	116.599	88.7284	83.8351
2X	CASTER-site	AB|CD	44	133.941	99.9822	86.4931
2X	CASTER-site	AB|CD	45	126.043	92.9213	75.098
2X	CASTER-site	AB|CD	46	119.849	91.7889	83.2122
2X	CASTER-site	AB|CD	47	116.487	95.8149	81.9117
2X	CASTER-site	AB|CD	48	121.628	91.5917	73.6111
2X	CASTER-site	AB|CD	49	116.705	81.686	83.6913
2X	CASTER-site	AB|CD	50	127.334	85.2253	72.6398
2X	CASTER-site	AB|CD	51	128.698	98.0614	79.2091
2X	CASTER-site	AB|CD	52	133.776	91.7734	77.4656
2X	CASTER-site	AB|CD	53	123.698	96.1298	79.6011
2X	CASTER-site	AB|CD	54	126.948	94.3957	74.2846
2X	CASTER-site	AB|CD	55	122.22	86.8099	77.3074
2X	CASTER-site	AB|CD	56	126.307	97.7311	77.8154
2X	CASTER-site	AB|CD	57	122.372	99.8285	79.5401
2X	CASTER-site	AB|CD	58	119.457	92.3842	73.3107
2X	CASTER-site	AB|CD	59	127.254	98.4257	82.9236
2X	CASTER-site	AB|CD	60	121.02	90.2949	80.203
2X	CASTER-site	AB|CD	61	132.925	91.7824	85.1597
2X	CASTER-site	AB|CD	62	136.209	95.346	81.3327
2X	CASTER-site	AB|CD	63	123.513	94.9953	84.8434
2X	CASTER-site	AB|CD	64	130.428	102.854	72.9063
2X	CASTER-site	AB|CD	65	134.869	92.851	75.1613
2X	CASTER-site	AB|CD	66	128.061	85.6307	82.6296
2X	CASTER-site	AB|CD	67	119.256	100.098	77.5248
2X	CASTER-site	AB|CD	68	129.58	97.8682	80.1899
2X	CASTER-site	AB|CD	69	123.767	90.2025	79.1947
