data	mut	pop	len	ind	ploidy	rep	method	rf	time	core	score_reconstructed	score_true
M201	5.00E-08	1.00E+05	5.00E+06	1	1	1	CASTER-site	2	519.238	32	26701600000	26701600000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	2	CASTER-site	1	501.124	32	52281400000	52281300000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	3	CASTER-site	5	517.816	32	38073300000	38069900000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	4	CASTER-site	3	448.454	32	24088100000	24088100000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	5	CASTER-site	1	737.048	32	40335600000	40335600000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	6	CASTER-site	4	651.634	32	48375200000	48375100000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	7	CASTER-site	0	693.019	32	60055600000	60055600000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	8	CASTER-site	3	454.486	32	32138200000	32138200000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	9	CASTER-site	1	420.433	32	32054800000	32054800000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	10	CASTER-site	3	607.291	32	43556900000	43555800000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	11	CASTER-site	2	502.831	32	35931300000	35931200000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	12	CASTER-site	1	548.581	32	55496800000	55496800000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	13	CASTER-site	3	440.34	32	30090000000	30089900000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	14	CASTER-site	1	567.859	32	26434300000	26434300000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	15	CASTER-site	0	561.284	32	31069000000	31069000000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	16	CASTER-site	0	510.332	32	26795100000	26795100000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	17	CASTER-site	1	630.116	32	25331900000	25330500000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	18	CASTER-site	6	513.65	32	25711900000	25709300000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	19	CASTER-site	0	533.177	32	34277400000	34277400000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	20	CASTER-site	0	460.714	32	40005000000	40005000000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	21	CASTER-site	1	475.404	32	21941900000	21941900000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	22	CASTER-site	0	485.849	32	50820500000	50820500000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	23	CASTER-site	5	463.632	32	40008700000	40007600000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	24	CASTER-site	1	360.457	32	35693800000	35693800000
