data	mut	pop	gene	ind	ploidy	rep	method	rf
M201	5.00E-08	1.00E+05	2000	1	1	1	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	2	wASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	3	wASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	4	wASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	5	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	6	wASTRAL	6
M201	5.00E-08	1.00E+05	2000	1	1	7	wASTRAL	0
M201	5.00E-08	1.00E+05	2000	1	1	8	wASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	9	wASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	10	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	11	wASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	12	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	13	wASTRAL	7
M201	5.00E-08	1.00E+05	2000	1	1	14	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	15	wASTRAL	7
M201	5.00E-08	1.00E+05	2000	1	1	16	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	17	wASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	18	wASTRAL	6
M201	5.00E-08	1.00E+05	2000	1	1	19	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	20	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	21	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	22	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	23	wASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	24	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	25	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	26	wASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	27	wASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	28	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	29	wASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	30	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	31	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	32	wASTRAL	0
M201	5.00E-08	1.00E+05	2000	1	1	33	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	34	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	35	wASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	36	wASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	37	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	38	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	39	wASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	40	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	41	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	42	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	43	wASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	44	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	45	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	46	wASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	47	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	48	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	49	wASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	50	wASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	1	CASTER-site	5
M201	5.00E-08	1.00E+05	2000	1	1	2	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	3	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	4	CASTER-site	4
M201	5.00E-08	1.00E+05	2000	1	1	5	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	6	CASTER-site	5
M201	5.00E-08	1.00E+05	2000	1	1	7	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	8	CASTER-site	5
M201	5.00E-08	1.00E+05	2000	1	1	9	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	10	CASTER-site	5
M201	5.00E-08	1.00E+05	2000	1	1	11	CASTER-site	4
M201	5.00E-08	1.00E+05	2000	1	1	12	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	13	CASTER-site	7
M201	5.00E-08	1.00E+05	2000	1	1	14	CASTER-site	1
M201	5.00E-08	1.00E+05	2000	1	1	15	CASTER-site	6
M201	5.00E-08	1.00E+05	2000	1	1	16	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	17	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	18	CASTER-site	8
M201	5.00E-08	1.00E+05	2000	1	1	19	CASTER-site	0
M201	5.00E-08	1.00E+05	2000	1	1	20	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	21	CASTER-site	4
M201	5.00E-08	1.00E+05	2000	1	1	22	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	23	CASTER-site	6
M201	5.00E-08	1.00E+05	2000	1	1	24	CASTER-site	5
M201	5.00E-08	1.00E+05	2000	1	1	25	CASTER-site	5
M201	5.00E-08	1.00E+05	2000	1	1	26	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	27	CASTER-site	4
M201	5.00E-08	1.00E+05	2000	1	1	28	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	29	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	30	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	31	CASTER-site	0
M201	5.00E-08	1.00E+05	2000	1	1	32	CASTER-site	0
M201	5.00E-08	1.00E+05	2000	1	1	33	CASTER-site	5
M201	5.00E-08	1.00E+05	2000	1	1	34	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	35	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	36	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	37	CASTER-site	4
M201	5.00E-08	1.00E+05	2000	1	1	38	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	39	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	40	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	41	CASTER-site	4
M201	5.00E-08	1.00E+05	2000	1	1	42	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	43	CASTER-site	4
M201	5.00E-08	1.00E+05	2000	1	1	44	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	45	CASTER-site	4
M201	5.00E-08	1.00E+05	2000	1	1	46	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	47	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	48	CASTER-site	3
M201	5.00E-08	1.00E+05	2000	1	1	49	CASTER-site	2
M201	5.00E-08	1.00E+05	2000	1	1	50	CASTER-site	4
M201	5.00E-08	1.00E+05	2000	1	1	1	CASTER-pair	4
M201	5.00E-08	1.00E+05	2000	1	1	2	CASTER-pair	0
M201	5.00E-08	1.00E+05	2000	1	1	3	CASTER-pair	4
M201	5.00E-08	1.00E+05	2000	1	1	4	CASTER-pair	4
M201	5.00E-08	1.00E+05	2000	1	1	5	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	6	CASTER-pair	7
M201	5.00E-08	1.00E+05	2000	1	1	7	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	8	CASTER-pair	5
M201	5.00E-08	1.00E+05	2000	1	1	9	CASTER-pair	3
M201	5.00E-08	1.00E+05	2000	1	1	10	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	11	CASTER-pair	3
M201	5.00E-08	1.00E+05	2000	1	1	12	CASTER-pair	3
