Pos	Score	Topology
0	0.142672806	Bongo+MountainNyala
0.1	0.602166183	Bongo+MountainNyala
0.2	0.340232496	Bongo+MountainNyala
0.3	0.255036901	Bongo+MountainNyala
0.4	0.35171655	Bongo+MountainNyala
0.5	0.69564672	Bongo+MountainNyala
0.6	0.524673873	Bongo+MountainNyala
0.7	0.533804416	Bongo+MountainNyala
0.8	0.411199498	Bongo+MountainNyala
0.9	0.51051371	Bongo+MountainNyala
1	0.520563173	Bongo+MountainNyala
1.1	0.388580874	Bongo+MountainNyala
1.2	0.277174069	Bongo+MountainNyala
1.3	0.589648345	Bongo+MountainNyala
1.4	0.559793227	Bongo+MountainNyala
1.5	0.574930965	Bongo+MountainNyala
1.6	0.485695544	Bongo+MountainNyala
1.7	0.343654006	Bongo+MountainNyala
1.8	0.369740575	Bongo+MountainNyala
1.9	0.312809095	Bongo+MountainNyala
2	0.582775998	Bongo+MountainNyala
2.1	0.616648946	Bongo+MountainNyala
2.2	0.539779839	Bongo+MountainNyala
2.3	0.559311772	Bongo+MountainNyala
2.4	0.526450614	Bongo+MountainNyala
2.5	0.034026427	Bongo+MountainNyala
2.6	0.309187182	Bongo+MountainNyala
2.7	0.474578081	Bongo+MountainNyala
2.8	0.359857299	Bongo+MountainNyala
2.9	0.434236035	Bongo+MountainNyala
3	0.470095903	Bongo+MountainNyala
3.1	0.452758623	Bongo+MountainNyala
3.2	0.481533521	Bongo+MountainNyala
3.3	0.239707559	Bongo+MountainNyala
3.4	0.186732811	Bongo+MountainNyala
3.5	0.41250456	Bongo+MountainNyala
3.6	0.576878781	Bongo+MountainNyala
3.7	0.498812146	Bongo+MountainNyala
3.8	0.446536363	Bongo+MountainNyala
3.9	0.263358501	Bongo+MountainNyala
4	0.35898237	Bongo+MountainNyala
4.1	0.294753298	Bongo+MountainNyala
4.2	0.284090407	Bongo+MountainNyala
4.3	0.509435934	Bongo+MountainNyala
4.4	0.370591064	Bongo+MountainNyala
4.5	0.261422904	Bongo+MountainNyala
4.6	0.368213115	Bongo+MountainNyala
4.7	0.131795093	Bongo+MountainNyala
4.8	0.492193968	Bongo+MountainNyala
4.9	0.248902622	Bongo+MountainNyala
5	0.406771087	Bongo+MountainNyala
5.1	0.417551287	Bongo+MountainNyala
5.2	0.271247526	Bongo+MountainNyala
5.3	0.4559113	Bongo+MountainNyala
5.4	0.384853873	Bongo+MountainNyala
5.5	0.215424615	Bongo+MountainNyala
5.6	0.467419793	Bongo+MountainNyala
5.7	0.495063149	Bongo+MountainNyala
5.8	0.10790269	Bongo+MountainNyala
5.9	0.400429074	Bongo+MountainNyala
6	0.233550796	Bongo+MountainNyala
6.1	0.25611712	Bongo+MountainNyala
6.2	0.422231424	Bongo+MountainNyala
6.3	0.347468989	Bongo+MountainNyala
6.4	0.385807007	Bongo+MountainNyala
6.5	0.476435472	Bongo+MountainNyala
6.6	0.334557678	Bongo+MountainNyala
6.7	0.310717086	Bongo+MountainNyala
6.8	0.329598932	Bongo+MountainNyala
6.9	0.217891279	Bongo+MountainNyala
7	0.101503733	Bongo+MountainNyala
7.1	0.286441473	Bongo+MountainNyala
7.2	0.329559829	Bongo+MountainNyala
7.3	0.316675401	Bongo+MountainNyala
7.4	0.238931365	Bongo+MountainNyala
7.5	0.215365227	Bongo+MountainNyala
7.6	0.278496239	Bongo+MountainNyala
7.7	0.447047146	Bongo+MountainNyala
7.8	0.411822702	Bongo+MountainNyala
7.9	0.38837314	Bongo+MountainNyala
8	0.33893721	Bongo+MountainNyala
8.1	0.394507418	Bongo+MountainNyala
8.2	0.290180695	Bongo+MountainNyala
8.3	0.176056967	Bongo+MountainNyala
8.4	0.373968583	Bongo+MountainNyala
8.5	0.267444762	Bongo+MountainNyala
8.6	0.269773832	Bongo+MountainNyala
8.7	0.183693288	Bongo+MountainNyala
8.8	0.741793112	Bongo+MountainNyala
8.9	0.469765971	Bongo+MountainNyala
9	0.322264682	Bongo+MountainNyala
9.1	0.738620884	Bongo+MountainNyala
9.2	0.291038516	Bongo+MountainNyala
9.3	0.259575289	Bongo+MountainNyala
9.4	0.495493282	Bongo+MountainNyala
9.5	0.180550631	Bongo+MountainNyala
9.6	0.294215632	Bongo+MountainNyala
9.7	0.127875265	Bongo+MountainNyala
9.8	0.30790656	Bongo+MountainNyala
9.9	0.110298969	Bongo+MountainNyala
10	0.501889061	Bongo+MountainNyala
10.1	0.159067948	Bongo+MountainNyala
10.2	0.307701269	Bongo+MountainNyala
10.3	0.126169154	Bongo+MountainNyala
10.4	0.429162425	Bongo+MountainNyala
10.5	0.213459446	Bongo+MountainNyala
10.6	0.490925566	Bongo+MountainNyala
10.7	0.180873964	Bongo+MountainNyala
10.8	0.070250196	Bongo+MountainNyala
10.9	0.284156394	Bongo+MountainNyala
11	0.399192443	Bongo+MountainNyala
11.1	0.169541434	Bongo+MountainNyala
11.2	0.390829295	Bongo+MountainNyala
11.3	0.4770489	Bongo+MountainNyala
11.4	0.281448513	Bongo+MountainNyala
11.5	0.343842189	Bongo+MountainNyala
11.6	0.243297945	Bongo+MountainNyala
11.7	0.324131848	Bongo+MountainNyala
11.8	0.267691599	Bongo+MountainNyala
11.9	0.286668759	Bongo+MountainNyala
12	0.248088792	Bongo+MountainNyala
12.1	0.327431161	Bongo+MountainNyala
12.2	0.292565976	Bongo+MountainNyala
12.3	0.459621195	Bongo+MountainNyala
12.4	0.194002297	Bongo+MountainNyala
12.5	0.252226375	Bongo+MountainNyala
12.6	0.069333965	Bongo+MountainNyala
12.7	0.38670882	Bongo+MountainNyala
12.8	0.412558327	Bongo+MountainNyala
12.9	0.337114034	Bongo+MountainNyala
13	0.270780734	Bongo+MountainNyala
13.1	0.190564169	Bongo+MountainNyala
13.2	0.176564083	Bongo+MountainNyala
13.3	0.279830627	Bongo+MountainNyala
13.4	0.258277559	Bongo+MountainNyala
13.5	0.399908516	Bongo+MountainNyala
13.6	0.211606943	Bongo+MountainNyala
13.7	0.201311375	Bongo+MountainNyala
13.8	0.327091454	Bongo+MountainNyala
13.9	0.143736163	Bongo+MountainNyala
14	0.169000103	Bongo+MountainNyala
14.1	0.239575098	Bongo+MountainNyala
14.2	0.317073762	Bongo+MountainNyala
14.3	0.601569863	Bongo+MountainNyala
14.4	0.353635039	Bongo+MountainNyala
14.5	0.497951881	Bongo+MountainNyala
14.6	0.232665359	Bongo+MountainNyala
14.7	0.481076505	Bongo+MountainNyala
14.8	0.489784248	Bongo+MountainNyala
14.9	0.19258848	Bongo+MountainNyala
15	0.166376293	Bongo+MountainNyala
15.1	0.287294407	Bongo+MountainNyala
15.2	0.440023275	Bongo+MountainNyala
15.3	0.215444899	Bongo+MountainNyala
15.4	0.138886417	Bongo+MountainNyala
15.5	0.328482054	Bongo+MountainNyala
15.6	0.253660965	Bongo+MountainNyala
15.7	0.055779409	Bongo+MountainNyala
15.8	0.235507411	Bongo+MountainNyala
15.9	0.600460316	Bongo+MountainNyala
16	0.246825277	Bongo+MountainNyala
16.1	0.526817204	Bongo+MountainNyala
16.2	0.349372815	Bongo+MountainNyala
16.3	0.113083345	Bongo+MountainNyala
16.4	0.336036259	Bongo+MountainNyala
16.5	0.265022822	Bongo+MountainNyala
