branch	chrbin	group	chr	pos	A	B	C	Q
b	1	0	1	0	8008.2401	3777.36953	1810.4257	314456220
b	1	0	1	1	3842.4808	3802.1269	5939.8817	745042520
b	1	0	1	2	4750.39897	6721.242475	6070.18039	1883360830
b	1	0	1	3	9992.944972	4656.4472	8228.1873	1598823900
b	1	0	1	4	7733.2408	2152.38549	8839.9764	2179215660
b	1	5	1	5	4447.89931	4796.40709	10980.65422	2150951050
b	1	5	1	6	11751.5713	2111.7557	4026.43775	1243628930
b	1	5	1	7	-2318.5646	1491.09396	6817.96472	2083118890
b	1	5	1	8	3167.805	6039.90287	10822.19958	2414050240
b	1	5	1	9	3266.3348	3468.79144	911.27836	1598646776
b	1	10	1	10	1404.07848	2562.327	3249.39717	1547072000
b	1	10	1	11	10579.67455	-3615.72845	6625.01391	2295199510
b	1	10	1	12	-45.91261	2879.0556	3632.55779	687870920
b	1	10	1	13	3675.24388	1032.15928	6829.461583	1782705000
b	1	10	1	14	-1335.2539	3870.0748	5667.07475	1006185500
b	1	15	1	15	3938.18914	410.819	5900.881003	1721327140
b	1	15	1	16	-1100.565993	5009.15618	2691.75548	1989207420
b	1	15	1	17	-2896.9648	5556.0366	1302.30296	1828416670
b	1	15	1	18	3481.38663	-1920.84932	5944.85616	1795572070
b	1	15	1	19	12004.69078	-317.26586	6913.42597	2305420300
b	1	20	1	20	5080.53576	6536.3819	5926.519432	1326128600
b	1	20	1	21	1391.32932	-914.216429	4633.83998	1966858750
b	1	20	1	22	-1641.2061	5598.15499	1705.04952	1148048330
b	1	20	1	23	-4458.918	2344.94669	4091.86639	2001166190
b	1	20	1	24	1097.649666	2309.76221	3822.039291	1622412570
b	1	25	1	25	-563.237753	4321.54569	6309.616221	2269829800
b	1	25	1	26	-245.31697	12355.07197	10368.36108	2424755480
b	1	25	1	27	-1092.72997	105.61347	-2213.79671	1922313510
b	1	25	1	28	65.912873	619.77181	684.7133224	2072620490
b	1	25	1	29	5882.98908	4282.25855	1306.11731	2101967400
b	1	30	1	30	7836.30882	7538.34017	2230.5344	1481940640
b	1	30	1	31	6121.387941	3366.5896	3600.89748	2042541352
b	1	30	1	32	5602.3083	4062.70887	511.83436	1583794010
b	1	30	1	33	7361.98993	6751.39151	2730.004	1205988490
b	1	30	1	34	6481.25122	4232.19113	10160.23143	2443069040
b	1	35	1	35	112.0501	2054.57787	6491.75943	1420607070
b	1	35	1	36	5817.25519	-557.63716	1124.205503	1514897890
b	1	35	1	37	9817.27929	11130.19839	7427.04488	1866135200
b	1	35	1	38	13530.97886	4717.89387	7546.96444	1818164260
b	1	35	1	39	1112.9909	4144.076952	793.21671	1352583800
b	1	40	1	40	1920.2301	4621.54118	7776.376	1454016340
b	1	40	1	41	-192.99911	1520.8216	-2986.0828	1942177320
b	1	40	1	42	-2192.28926	-7349.05339	3739.05875	1798877180
b	1	40	1	43	11666.50206	4846.329965	10485.03962	2578774000
b	1	40	1	44	6167.91261	5348.93455	-464.4215	2301367300
b	1	45	1	45	-287.892	5060.18521	8634.71148	1366478700
b	1	45	1	46	3626.3899	5964.80081	3285.53726	2018040310
b	1	45	1	47	9340.62105	5464.0315	3509.7905	963245400
b	1	45	1	48	-2317.28465	665.44282	5654.35929	1308750118
b	1	45	1	49	7778.0028	5720.413782	687.525643	1191603770
b	1	50	1	50	4998.01348	1264.30779	9164.2448	1840286070
b	1	50	1	51	8905.111103	345.3481	115.09231	1638705300
b	1	50	1	52	5991.1992	-2379.5891	9033.530743	2111715200
b	1	50	1	53	9721.8197	4330.931394	7187.9661	1747449950
b	1	50	1	54	2856.8122	3437.46704	4176.42054	1139522000
b	1	55	1	55	5657.5444	3099.616468	5525.66831	1763207760
b	1	55	1	56	-505.2806475	2515.6328	-613.356433	1379804650
b	1	55	1	57	12003.23571	8495.522	2389.30216	1615471800
b	1	55	1	58	2056.631474	530.92092	6266.53985	1951956600
b	1	55	1	59	4595.72969	5493.67376	4558.5985	1144959950
b	1	60	1	60	4529.4911	155.499	5761.3527	889759400
b	1	60	1	61	10027.0053	2146.9616	9357.50043	1776030600
b	1	60	1	62	2901.48143	1508.27106	9983.5281	1919077730
b	1	60	1	63	10256.31652	1017.75357	11040.9051	2147462600
b	1	60	1	64	4110.570819	4602.65878	636.57096	1674508360
b	1	65	1	65	8927.99448	8052.42202	-2054.5028	2186457620
b	1	65	1	66	5196.57941	5618.13307	-839.50904	1355557100
b	1	65	1	67	6339.10873	5587.32713	1532.06317	2040040340
b	1	65	1	68	6727.42441	4020.64595	8304.18884	1292310910
b	1	65	1	69	-730.8041	3862.51012	4659.15981	1430707990
b	1	70	1	70	422.20068	4380.49971	1968.89367	1294846330
b	1	70	1	71	7774.41061	3575.29173	4467.11075	1572433320
b	1	70	1	72	4435.3322	3996.16003	4699.99332	1730816970
b	1	70	1	73	4611.26506	1684.26459	3036.016029	846518170
b	1	70	1	74	-1081.67	2235.1775	903.99291	727979100
b	1	75	1	75	1459.7229	-155.4756	-843.3728	581623800
b	1	75	1	76	2166.68412	3788.8652	649.4248	978573600
b	1	75	1	77	313.9446	974.05736	525.1767	567507700
b	1	75	1	78	1496.73683	2482.521323	4405.29749	1392436700
b	1	75	1	79	6587.80382	6837.20218	2499.60989	1173284810
b	1	80	1	80	6913.043054	1040.0447	3557.519469	2714190120
b	1	80	1	81	5305.66848	-417.5546	-2761.80349	2776528600
b	1	80	1	82	1621.93945	9963.12679	3055.13024	2014175710
b	1	80	1	83	9941.747	2039.2865	-1066.0764	1855696280
b	1	80	1	84	5668.9872	-2530.63892	2721.6067	1022336700
b	1	85	1	85	949.73881	2501.04202	3249.33315	2896575400
b	1	85	1	86	7512.6752	1165.32989	5917.65977	1894505800
b	1	85	1	87	8330.94179	8660.149607	4819.991081	2424392260
b	1	85	1	88	8072.981	951.8416	2321.3417	1679935120
b	1	85	1	89	3074.59186	7185.20616	4677.926937	2045827020
b	1	90	1	90	-1085.55207	5668.37525	6180.5133	1395949780
b	1	90	1	91	4429.2859	5825.412911	3558.5536	2034555850
b	1	90	1	92	4609.65399	1901.80663	8267.645869	2182293660
b	1	90	1	93	2001.06573	-918.17749	-1671.77485	2271897028
b	1	90	1	94	2673.65414	-4603.5046	7531.82014	1654794030
b	1	95	1	95	-817.83387	-1143.11423	5406.74253	2750051900
b	1	95	1	96	9627.99332	5266.13736	9031.05568	3196323500
b	1	95	1	97	9552.31548	5630.77125	6874.67668	2470110200
b	1	95	1	98	7643.179062	-160.73911	5880.44889	1977446590
b	1	95	1	99	6190.3142	-314.9052	5062.38857	1330179840
b	1	100	1	100	899.47088	-4191.49732	1160.3629	1436611380
b	1	100	1	101	1887.44709	2488.72476	2271.20817	1563160310
b	1	100	1	102	1105.4058	2825.765726	4488.27092	1713737870
b	1	100	1	103	1726.8481	2364.8752	2022.1025	1715631920
b	1	100	1	104	13429.9463	1726.33009	5710.6688	1227969460
b	1	105	1	105	14991.97301	3523.54961	4467.65726	2251238840
b	1	105	1	106	3670.30849	918.94021	10057.8874	1687058200
b	1	105	1	107	6064.6504	1205.4334	3181.42564	1874480300
b	1	105	1	108	4533.4241	8926.69534	5102.7852	1726259860
b	1	105	1	109	6551.23799	7058.59037	7861.546647	2114662420
b	1	110	1	110	-2268.64934	3774.6248	5230.55488	2162144800
b	1	110	1	111	8907.039664	9007.773041	4181.2099	2463072760
b	1	110	1	112	5529.3149	4590.23614	-2553.24904	1214435150
b	1	110	1	113	7332.481638	271.146294	7640.203909	1986205460
b	1	110	1	114	327.23248	-3396.48033	5059.5131	2103077520
b	1	115	1	115	1871.6075	3127.683	5769.2589	1812428110
b	1	115	1	116	290.422794	4116.54821	5963.78658	2055848680
b	1	115	1	117	10760.5954	5836.345403	6283.12069	1805614200
b	1	115	1	118	12045.15802	3591.6464	3488.32946	2505633230
b	1	115	1	119	3440.73419	1491.03723	5383.10739	1472617870
b	1	120	1	120	646.93258	4264.25599	11559.54349	2040364620
b	1	120	1	121	761.813	-1611.200006	2824.24453	1615955118
b	1	120	1	122	2994.11702	540.28976	5108.87671	1665919310
b	1	120	1	123	-4352.887845	1367.86868	6168.048	2276801570
b	1	120	1	124	5296.20232	8934.98617	7878.0992	1900232690
b	1	125	1	125	5938.45312	8347.384	857.6471	1516035320
b	1	125	1	126	2166.8225	2318.008333	1683.33147	1282470260
b	1	125	1	127	3090.21583	1157.85822	-1708.07582	1589482550
b	1	125	1	128	1838.57635	1052.41778	8461.90309	2251301800
b	1	125	1	129	3540.94279	1291.320502	7730.619948	1561095540
b	1	130	1	130	1757.42224	-751.641899	5070.11338	1672312930
b	1	130	1	131	3547.9969	2318.137701	3347.64482	1219262293
b	1	130	1	132	9675.98952	2121.29234	5131.54547	2247039220
b	1	130	1	133	-458.10337	1978.5414	7582.447994	2258274300
b	1	130	1	134	11514.26667	7525.232	3902.323582	2505993230
b	1	135	1	135	1730.68591	4969.04674	7726.225515	2228715600
b	1	135	1	136	5742.9505	4604.11606	6728.9578	1131350470
b	1	135	1	137	970.31533	5457.24259	6766.72155	1372001300
b	1	135	1	138	609.968	3246.68175	6206.94738	1743501080
b	1	135	1	139	1749.71252	5868.1913	-574.79286	2229938090
b	1	140	1	140	779.60354	2278.47121	4085.2202	2054852200
b	1	140	1	141	4318.619537	3220.45678	1113.018405	1980109640
b	1	140	1	142	5097.06257	-957.24791	4957.79028	1082597370
b	1	140	1	143	6913.9042	121.70012	3383.08742	1035478490
b	1	140	1	144	5396.98214	4522.30217	2519.66166	2216083700
b	1	145	1	145	-3621.03702	5561.324755	-981.3598	1953425800
b	1	145	1	146	5379.84823	-2009.715537	7943.931479	2336920650
b	1	145	1	147	3123.09892	7750.193524	7079.448664	1265405190
b	1	145	1	148	-3170.82201	1836.21163	4484.27228	1097444228
b	1	145	1	149	8007.5315	3717.9117	1846.92956	1056230400
b	1	150	1	150	7014.979	2070.84719	4099.942465	1334741700
b	1	150	1	151	6047.40599	3605.80701	4537.8446	1481540760
b	1	150	1	152	6153.16851	4667.95205	4734.37395	2337751106
b	1	150	1	153	2492.88657	3267.4486	2399.80444	1555917700
b	1	150	1	154	515.02467	8173.15741	13337.67262	1400614170
b	1	155	1	155	5732.73563	1924.12195	11679.25766	2170849600
b	1	155	1	156	-870.03735	7607.33434	2290.122951	1223732550
b	1	155	1	157	3559.2411	665.555267	-726.19884	829191670
b	1	155	1	158	10592.32846	5739.86974	6012.03423	2577211700
b	1	155	1	159	3503.564393	7227.24555	3820.07866	1241724396
b	1	160	1	160	907.5072	-177.41587	-522.43842	1244519090
b	1	160	1	161	-2038.44895	621.42501	2545.0518	1577517020
b	1	160	1	162	9262.20211	7372.65887	6544.68284	2389835600
